mount,x_mm,y_mm,r_over_a,sensor_x_mm,sensor_y_mm,sensor_r_over_a,station,used,mic_dur_ms,mic_jam,strike,peak_mv,pp_mv,snr_db,clipped,rail_ms,rail_max_ms,jam,T60_ms,tau_ms,decay_r2,mode1_hz,mode2_hz,mode3_hz,energy_mv2s,png
mount1,4.0,4.0,0.2263,6.251,2.112,0.2639,5,True,-1,,1,-309.9,441.7,37.7,False,0.0,0.0,False,120.9,17.5,0.924,465.5,287.8,,539.0,strike_001_p15ms.jpg
mount1,4.0,4.0,0.2263,6.251,2.112,0.2639,5,False,-1,,2,-333.3,452.1,38.3,False,0.0,0.0,False,114.6,16.6,0.909,464.3,287.9,,514.5,strike_002_p15ms.jpg
mount1,4.0,4.0,0.2263,6.251,2.112,0.2639,5,False,-1,,3,-329.9,448.4,39.1,False,0.0,0.0,False,140.1,20.3,0.878,464.2,287.5,755.8,516.7,strike_003_p15ms.jpg
mount1,4.0,4.0,0.2263,6.251,2.112,0.2639,5,True,-1,,4,-2480.6,4597.8,34.3,True,11.25,11.25,False,197.0,28.5,0.981,287.2,465.1,509.5,79868.0,strike_004_p15ms.jpg
mount1,4.0,4.0,0.2263,6.251,2.112,0.2639,5,True,-1,,5,-2478.8,4872.7,36.1,True,11.12,11.12,False,178.2,25.8,0.987,287.5,466.0,509.9,78061.6,strike_005_p15ms.jpg
mount1,4.0,8.0,0.3578,6.251,2.112,0.2639,5,False,-1,,1,486.9,656.3,34.6,False,0.0,0.0,False,115.6,16.7,0.956,287.0,505.1,464.3,1931.1,strike_001_p15ms.jpg
mount1,4.0,8.0,0.3578,6.251,2.112,0.2639,5,False,-1,,2,495.5,660.5,34.9,False,0.0,0.0,False,118.3,17.1,0.948,287.0,504.6,574.4,2067.9,strike_002_p15ms.jpg
mount1,4.0,8.0,0.3578,6.251,2.112,0.2639,5,True,-1,,3,187.6,257.6,35.9,False,0.0,0.0,False,118.9,17.2,0.953,504.4,576.5,,348.9,strike_003_p15ms.jpg
mount1,4.0,8.0,0.3578,6.251,2.112,0.2639,5,True,-1,,4,2496.5,4550.1,34.0,True,13.88,13.88,False,184.8,26.7,0.974,287.1,506.9,574.6,100215.2,strike_004_p15ms.jpg
mount1,4.0,8.0,0.3578,6.251,2.112,0.2639,5,True,-1,,5,2502.6,4390.5,31.8,True,15.62,15.62,False,544.6,78.8,0.972,508.8,287.4,464.7,107830.4,strike_005_p15ms.jpg
mount1,4.0,12.0,0.506,-2.443,5.037,0.2239,4,True,-1,,1,1788.6,3457.2,40.2,False,0.0,0.0,False,273.1,39.5,0.999,285.4,511.6,463.1,24901.1,strike_001_p15ms.jpg
mount1,4.0,12.0,0.506,-2.443,5.037,0.2239,4,True,-1,,2,1816.5,3384.6,43.8,False,0.0,0.0,False,322.6,46.7,0.992,285.3,511.4,463.9,25506.5,strike_002_p15ms.jpg
mount1,4.0,12.0,0.506,-2.443,5.037,0.2239,4,True,-1,,3,1676.2,3128.7,37.0,False,0.0,0.0,False,243.6,35.3,0.995,285.4,511.3,,20142.1,strike_003_p15ms.jpg
mount1,4.0,16.0,0.6597,-2.443,5.037,0.2239,4,True,-1,,1,-1452.3,2212.5,43.1,False,0.0,0.0,False,362.0,52.4,0.975,286.1,511.8,851.9,8008.6,strike_001_p15ms.jpg
mount1,4.0,16.0,0.6597,-2.443,5.037,0.2239,4,True,-1,,2,-1423.7,2118.6,41.9,False,0.0,0.0,False,265.4,38.4,0.998,286.1,511.6,,6525.6,strike_002_p15ms.jpg
mount1,4.0,16.0,0.6597,-2.443,5.037,0.2239,4,True,-1,,3,1343.2,2526.4,42.3,False,0.0,0.0,False,391.3,56.6,0.983,285.9,503.3,464.8,12808.4,strike_003_p15ms.jpg
mount1,4.0,20.0,0.8158,-2.443,5.037,0.2239,4,True,-1,,1,-1029.0,1593.8,43.6,False,0.0,0.0,False,260.5,37.7,0.997,287.1,511.0,,2419.0,strike_001_p15ms.jpg
mount1,4.0,20.0,0.8158,-2.443,5.037,0.2239,4,True,-1,,2,-1052.4,1632.6,44.3,False,0.0,0.0,False,300.6,43.5,0.995,287.0,511.3,,2479.9,strike_002_p15ms.jpg
mount1,4.0,20.0,0.8158,-2.443,5.037,0.2239,4,True,-1,,3,-1006.4,1811.2,41.5,False,0.0,0.0,False,280.1,40.5,0.999,286.9,503.5,126.9,6471.0,strike_003_p15ms.jpg
mount1,4.0,-0.0,0.16,0.076,0.081,0.0044,1,True,-1,,1,-2476.7,4946.3,36.2,True,14.88,14.88,False,163.8,23.7,0.951,287.2,504.2,,97420.3,strike_001_p15ms.jpg
mount1,4.0,-0.0,0.16,0.076,0.081,0.0044,1,True,-1,,2,-2481.7,4946.3,33.2,True,14.38,14.38,False,525.9,76.1,0.977,287.2,573.2,,93509.1,strike_002_p15ms.jpg
mount1,4.0,-0.0,0.16,0.076,0.081,0.0044,1,True,-1,,3,-2481.2,4946.0,37.1,True,14.75,14.75,False,152.1,22.0,0.96,287.2,,,96147.9,strike_003_p15ms.jpg
mount1,8.0,4.0,0.3578,6.251,2.112,0.2639,5,True,-1,,1,-317.1,463.5,38.2,False,0.0,0.0,False,129.7,18.8,0.942,465.3,287.5,,558.0,strike_001_p15ms.jpg
mount1,8.0,4.0,0.3578,6.251,2.112,0.2639,5,True,-1,,2,-319.6,468.7,37.0,False,0.0,0.0,False,103.7,15.0,0.961,464.8,287.6,575.8,566.2,strike_002_p15ms.jpg
mount1,8.0,4.0,0.3578,6.251,2.112,0.2639,5,True,-1,,3,-319.7,430.6,37.9,False,0.0,0.0,False,100.4,14.5,0.956,465.3,287.3,572.8,543.7,strike_003_p15ms.jpg
mount1,8.0,8.0,0.4525,6.251,2.112,0.2639,5,True,-1,,1,2483.1,4343.5,44.4,True,2.5,1.38,False,479.1,69.4,0.991,287.3,464.2,579.4,29028.3,strike_001_p15ms.jpg
mount1,8.0,8.0,0.4525,6.251,2.112,0.2639,5,True,-1,,2,2480.3,4238.2,42.7,True,2.62,1.38,False,481.0,69.6,0.992,287.4,510.5,463.3,33559.2,strike_002_p15ms.jpg
mount1,8.0,8.0,0.4525,6.251,2.112,0.2639,5,True,-1,,3,2480.3,4234.3,40.6,True,2.38,1.25,False,374.1,54.2,0.994,287.4,507.8,464.4,29077.9,strike_003_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,1,158.1,192.4,43.0,False,0.0,0.0,False,146.2,21.2,0.929,286.2,462.6,120.4,90.4,strike_001_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,2,311.4,364.5,41.1,False,0.0,0.0,False,285.7,41.4,0.869,286.0,509.1,916.1,325.1,strike_002_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,3,318.2,371.0,39.7,False,0.0,0.0,False,530.8,76.8,0.843,285.8,,,354.8,strike_003_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,4,307.8,361.8,40.8,False,0.0,0.0,False,144.2,20.9,0.962,285.8,120.6,503.7,322.3,strike_004_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,5,2026.3,2674.7,34.2,False,0.0,0.0,False,830.7,120.3,0.911,285.5,463.5,510.3,15876.3,strike_005_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,6,2052.0,2927.9,41.7,False,0.0,0.0,False,964.0,139.6,0.923,286.2,510.3,459.8,15952.7,strike_006_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,True,-1,,7,2485.2,3416.3,41.0,True,1.5,1.5,False,426.9,61.8,0.978,285.9,268.5,,34721.3,strike_007_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,True,-1,,8,2491.6,3291.8,37.9,True,3.25,1.75,False,512.8,74.2,0.883,285.6,461.3,,36752.9,strike_008_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,False,-1,,9,2489.5,3504.9,37.0,True,2.75,1.62,False,284.7,41.2,0.968,285.9,463.4,662.0,43310.8,strike_009_p15ms.jpg
mount1,8.0,12.0,0.5769,6.251,2.112,0.2639,5,True,-1,,10,2482.1,3709.0,36.0,True,4.25,1.88,False,259.2,37.5,0.992,285.9,,,51127.4,strike_010_p15ms.jpg
mount1,8.0,16.0,0.7155,6.251,2.112,0.2639,5,True,-1,,1,2487.5,3639.4,39.9,True,4.75,4.75,False,313.1,45.3,0.951,286.2,505.6,111.9,34032.3,strike_001_p15ms.jpg
mount1,8.0,16.0,0.7155,6.251,2.112,0.2639,5,True,-1,,2,2486.4,3692.5,43.4,True,4.62,2.62,False,472.4,68.4,0.98,286.4,466.0,572.8,44458.3,strike_002_p15ms.jpg
mount1,8.0,16.0,0.7155,6.251,2.112,0.2639,5,True,-1,,3,2481.5,3615.3,38.5,True,4.62,2.62,False,269.7,39.0,0.988,286.4,505.0,,38111.3,strike_003_p15ms.jpg
mount1,8.0,20.0,0.8616,-2.443,5.037,0.2239,4,True,-1,,1,-710.3,1136.1,43.3,False,0.0,0.0,False,255.9,37.0,0.998,287.2,510.8,,1040.8,strike_001_p15ms.jpg
mount1,8.0,20.0,0.8616,-2.443,5.037,0.2239,4,True,-1,,2,-804.9,1141.0,44.2,False,0.0,0.0,False,272.1,39.4,0.999,287.2,504.9,,858.5,strike_002_p15ms.jpg
mount1,8.0,20.0,0.8616,-2.443,5.037,0.2239,4,True,-1,,3,-683.0,1130.6,43.1,False,0.0,0.0,False,286.8,41.5,0.998,287.0,510.3,866.6,1043.7,strike_003_p15ms.jpg
mount1,8.0,-0.0,0.32,6.251,2.112,0.2639,5,False,-1,,1,-2476.7,3694.1,36.6,True,5.88,2.25,False,154.3,22.3,0.965,287.1,464.3,574.4,54211.2,strike_001_p15ms.jpg
mount1,8.0,-0.0,0.32,6.251,2.112,0.2639,5,True,-1,,2,-161.0,227.2,41.4,False,0.0,0.0,False,179.0,25.9,0.951,464.3,287.3,120.5,130.3,strike_002_p15ms.jpg
mount1,8.0,-0.0,0.32,6.251,2.112,0.2639,5,True,-1,,3,-159.7,242.1,38.7,False,0.0,0.0,False,154.1,22.3,0.973,464.9,287.7,119.8,135.4,strike_003_p15ms.jpg
mount1,8.0,-0.0,0.32,6.251,2.112,0.2639,5,True,-1,,4,-147.5,223.5,37.0,False,0.0,0.0,False,150.2,21.7,0.968,464.9,286.9,121.4,127.2,strike_004_p15ms.jpg
mount1,12.0,4.0,0.506,6.251,2.112,0.2639,5,True,-1,,1,-152.1,215.4,40.2,False,0.0,0.0,False,159.2,23.0,0.927,288.4,464.0,122.1,132.5,strike_001_p15ms.jpg
mount1,12.0,4.0,0.506,6.251,2.112,0.2639,5,True,-1,,2,-152.1,226.0,37.8,False,0.0,0.0,False,145.9,21.1,0.958,465.5,288.8,,129.4,strike_002_p15ms.jpg
mount1,12.0,4.0,0.506,6.251,2.112,0.2639,5,True,-1,,3,-150.2,224.1,37.6,False,0.0,0.0,False,144.3,20.9,0.959,466.0,117.7,288.2,129.9,strike_003_p15ms.jpg
mount1,12.0,8.0,0.5769,6.251,2.112,0.2639,5,True,-1,,1,-2476.7,4403.3,36.2,True,8.88,4.62,False,581.3,84.2,0.962,287.6,465.4,506.1,66727.0,strike_001_p15ms.jpg
mount1,12.0,8.0,0.5769,6.251,2.112,0.2639,5,True,-1,,2,-2477.3,4448.2,36.0,True,8.75,4.62,False,308.9,44.7,0.925,465.9,288.3,506.7,66729.6,strike_002_p15ms.jpg
mount1,12.0,8.0,0.5769,6.251,2.112,0.2639,5,True,-1,,3,-2474.5,4307.8,41.4,True,4.5,2.0,False,556.2,80.5,0.963,287.6,465.9,504.8,54899.8,strike_003_p15ms.jpg
mount1,12.0,12.0,0.6788,6.251,2.112,0.2639,5,True,-1,,1,80.3,111.9,45.4,False,0.0,0.0,False,775.2,112.2,0.886,286.6,465.2,120.0,17.3,strike_001_p15ms.jpg
mount1,12.0,12.0,0.6788,6.251,2.112,0.2639,5,True,-1,,2,79.8,116.8,46.5,False,0.0,0.0,False,717.5,103.9,0.905,286.5,100.0,465.3,19.3,strike_002_p15ms.jpg
mount1,12.0,12.0,0.6788,6.251,2.112,0.2639,5,True,-1,,3,78.1,103.2,44.2,False,0.0,0.0,False,739.3,107.0,0.876,286.5,465.6,120.2,15.1,strike_003_p15ms.jpg
mount1,12.0,16.0,0.8,6.251,2.112,0.2639,5,True,-1,,1,2404.2,3334.1,41.7,False,0.0,0.0,False,357.6,51.8,0.987,286.8,465.4,,25752.9,strike_001_p15ms.jpg
mount1,12.0,16.0,0.8,6.251,2.112,0.2639,5,True,-1,,2,2408.1,3305.2,40.6,False,0.0,0.0,False,409.7,59.3,0.97,286.8,,,24995.5,strike_002_p15ms.jpg
mount1,12.0,16.0,0.8,6.251,2.112,0.2639,5,True,-1,,3,2424.3,3293.5,41.3,False,0.0,0.0,False,523.6,75.8,0.97,286.8,465.4,,26357.6,strike_003_p15ms.jpg
mount1,12.0,-0.0,0.48,6.251,2.112,0.2639,5,True,-1,,1,-96.9,138.1,35.4,False,0.0,0.0,False,504.6,73.0,0.882,464.6,119.7,286.9,48.8,strike_001_p15ms.jpg
mount1,12.0,-0.0,0.48,6.251,2.112,0.2639,5,True,-1,,2,-94.8,136.0,38.1,False,0.0,0.0,False,150.2,21.7,0.963,465.9,118.0,574.5,48.8,strike_002_p15ms.jpg
mount1,12.0,-0.0,0.48,6.251,2.112,0.2639,5,True,-1,,3,-94.6,143.7,40.7,False,0.0,0.0,False,255.7,37.0,0.93,464.8,120.8,,50.0,strike_003_p15ms.jpg
mount1,16.0,4.0,0.6597,6.251,2.112,0.2639,5,True,-1,,1,-78.5,118.4,38.3,False,0.0,0.0,False,439.9,63.7,0.959,466.2,120.4,,33.9,strike_001_p15ms.jpg
mount1,16.0,4.0,0.6597,6.251,2.112,0.2639,5,True,-1,,2,-79.3,118.8,40.0,False,0.0,0.0,False,428.6,62.0,0.954,465.2,119.6,290.2,33.0,strike_002_p15ms.jpg
mount1,16.0,4.0,0.6597,6.251,2.112,0.2639,5,True,-1,,3,-77.7,117.3,43.9,False,0.0,0.0,False,591.7,85.7,0.96,466.0,121.3,288.3,33.1,strike_003_p15ms.jpg
mount1,16.0,8.0,0.7155,6.251,2.112,0.2639,5,True,-1,,1,-2480.8,4944.8,34.6,True,12.75,12.75,False,299.5,43.4,0.953,288.5,464.8,510.5,95499.4,strike_001_p15ms.jpg
mount1,16.0,8.0,0.7155,6.251,2.112,0.2639,5,True,-1,,2,-2477.9,4944.8,35.1,True,12.5,12.5,False,305.7,44.3,0.967,288.3,464.5,509.3,93668.4,strike_002_p15ms.jpg
mount1,16.0,8.0,0.7155,6.251,2.112,0.2639,5,True,-1,,3,-2475.6,4485.4,36.4,True,11.62,11.62,False,304.3,44.0,0.949,288.5,509.1,468.7,85843.7,strike_003_p15ms.jpg
mount1,16.0,12.0,0.8,6.251,2.112,0.2639,5,True,-1,,1,-23.6,46.3,32.4,False,0.0,0.0,False,586.2,84.9,0.94,287.3,464.5,119.4,3.5,strike_001_p15ms.jpg
mount1,16.0,12.0,0.8,6.251,2.112,0.2639,5,True,-1,,2,-25.4,48.4,36.7,False,0.0,0.0,False,814.8,118.0,0.799,287.2,100.0,462.5,3.5,strike_002_p15ms.jpg
mount1,16.0,12.0,0.8,6.251,2.112,0.2639,5,True,-1,,3,-25.6,47.0,36.0,False,0.0,0.0,False,679.7,98.4,0.875,287.3,119.6,100.0,3.3,strike_003_p15ms.jpg
mount1,16.0,16.0,0.9051,6.251,2.112,0.2639,5,True,-1,,1,1761.2,2709.7,42.3,False,0.0,0.0,False,446.0,64.6,0.989,287.4,468.9,,16150.1,strike_001_p15ms.jpg
mount1,16.0,16.0,0.9051,6.251,2.112,0.2639,5,True,-1,,2,1797.0,2733.7,39.5,False,0.0,0.0,False,351.1,50.8,0.993,287.5,573.1,,15459.6,strike_002_p15ms.jpg
mount1,16.0,16.0,0.9051,6.251,2.112,0.2639,5,True,-1,,3,1831.3,2980.2,39.6,False,0.0,0.0,False,301.0,43.6,0.997,287.4,576.3,309.1,26747.3,strike_003_p15ms.jpg
mount1,16.0,-0.0,0.64,6.251,2.112,0.2639,5,True,-1,,1,-51.3,68.4,43.5,False,0.0,0.0,False,536.2,77.6,0.951,468.1,119.6,285.9,7.3,strike_001_p15ms.jpg
mount1,16.0,-0.0,0.64,6.251,2.112,0.2639,5,True,-1,,2,-50.8,69.3,39.8,False,0.0,0.0,False,315.4,45.7,0.902,466.0,120.3,,7.5,strike_002_p15ms.jpg
mount1,16.0,-0.0,0.64,6.251,2.112,0.2639,5,True,-1,,3,-51.2,71.2,40.6,False,0.0,0.0,False,524.1,75.9,0.919,466.3,119.5,,7.0,strike_003_p15ms.jpg
mount1,20.0,4.0,0.8158,6.251,2.112,0.2639,5,True,-1,,1,-43.6,57.7,40.4,False,0.0,0.0,False,579.6,83.9,0.96,120.0,468.5,288.4,3.0,strike_001_p15ms.jpg
mount1,20.0,4.0,0.8158,6.251,2.112,0.2639,5,True,-1,,2,-40.9,58.0,40.7,False,0.0,0.0,False,726.1,105.1,0.961,119.4,466.1,289.3,3.0,strike_002_p15ms.jpg
mount1,20.0,4.0,0.8158,6.251,2.112,0.2639,5,True,-1,,3,-42.4,60.0,40.2,False,0.0,0.0,False,626.1,90.6,0.931,119.8,466.1,289.6,3.1,strike_003_p15ms.jpg
mount1,20.0,8.0,0.8616,6.251,2.112,0.2639,5,True,-1,,1,-2472.7,3583.0,45.9,True,2.25,2.25,False,311.1,45.0,0.992,289.2,508.5,466.4,23747.1,strike_001_p15ms.jpg
mount1,20.0,8.0,0.8616,6.251,2.112,0.2639,5,False,-1,,2,-2472.1,3809.4,40.9,True,2.0,2.0,False,277.4,40.2,0.995,289.2,508.2,466.8,24348.6,strike_002_p15ms.jpg
mount1,20.0,8.0,0.8616,6.251,2.112,0.2639,5,False,-1,,3,49.4,70.2,42.7,False,0.0,0.0,False,337.1,48.8,0.997,289.2,509.5,119.8,7.7,strike_003_p15ms.jpg
mount1,20.0,8.0,0.8616,6.251,2.112,0.2639,5,True,-1,,4,-44.7,67.2,35.4,False,0.0,0.0,False,206.5,29.9,0.966,287.7,100.5,464.9,7.6,strike_004_p15ms.jpg
mount1,20.0,8.0,0.8616,6.251,2.112,0.2639,5,True,-1,,5,-42.3,79.1,39.9,False,0.0,0.0,False,697.9,101.0,0.906,287.8,100.0,465.9,9.8,strike_005_p15ms.jpg
mount1,20.0,-0.0,0.8,6.251,2.112,0.2639,5,True,-1,,1,-33.3,47.9,39.3,False,0.0,0.0,False,726.4,105.2,0.931,120.2,467.6,288.1,2.2,strike_001_p15ms.jpg
mount1,20.0,-0.0,0.8,6.251,2.112,0.2639,5,False,-1,,2,-34.9,49.8,37.5,False,0.0,0.0,False,409.1,59.2,0.915,120.0,464.9,288.8,2.3,strike_002_p15ms.jpg
mount1,20.0,-0.0,0.8,6.251,2.112,0.2639,5,False,-1,,3,-33.3,51.8,37.4,False,0.0,0.0,False,150.8,21.8,0.993,465.4,119.7,287.9,2.5,strike_003_p15ms.jpg
mount1,20.0,-0.0,0.8,6.251,2.112,0.2639,5,True,-1,,4,-36.2,53.9,37.7,False,0.0,0.0,False,267.4,38.7,0.922,119.5,467.2,289.2,2.8,strike_004_p15ms.jpg
mount1,20.0,-0.0,0.8,6.251,2.112,0.2639,5,True,-1,,5,-37.8,55.1,38.7,False,0.0,0.0,False,593.3,85.9,0.918,120.1,466.6,290.7,2.7,strike_005_p15ms.jpg
mount1,-0.0,4.0,0.16,0.076,0.081,0.0044,1,True,-1,,1,-2481.4,4946.0,34.1,True,14.5,14.5,False,152.9,22.1,0.896,286.9,658.5,,102271.5,strike_001_p15ms.jpg
mount1,-0.0,4.0,0.16,0.076,0.081,0.0044,1,True,-1,,2,-2484.6,4946.0,34.0,True,14.25,14.25,False,156.6,22.7,0.862,287.1,509.1,,98745.2,strike_002_p15ms.jpg
mount1,-0.0,4.0,0.16,0.076,0.081,0.0044,1,True,-1,,3,-2482.8,4946.0,34.1,True,14.62,14.62,False,152.3,22.0,0.9,287.2,,,104056.1,strike_003_p15ms.jpg
mount1,-0.0,8.0,0.32,-2.443,5.037,0.2239,4,False,-1,,1,-94.9,137.3,46.2,False,0.0,0.0,False,779.8,112.9,0.917,285.0,120.1,510.1,22.1,strike_001_p15ms.jpg
mount1,-0.0,8.0,0.32,-2.443,5.037,0.2239,4,False,-1,,2,-129.3,181.2,48.2,False,0.0,0.0,False,753.5,109.1,0.78,285.2,502.4,119.3,32.1,strike_002_p15ms.jpg
mount1,-0.0,8.0,0.32,-2.443,5.037,0.2239,4,True,-1,,3,1993.9,2818.0,44.7,False,0.0,0.0,False,284.6,41.2,0.998,285.2,510.5,460.0,8318.3,strike_003_p15ms.jpg
mount1,-0.0,8.0,0.32,-2.443,5.037,0.2239,4,True,-1,,4,1905.5,2936.9,43.0,False,0.0,0.0,False,259.9,37.6,0.99,285.3,510.4,269.0,8569.5,strike_004_p15ms.jpg
mount1,-0.0,8.0,0.32,-2.443,5.037,0.2239,4,True,-1,,5,1903.9,2529.3,43.6,False,0.0,0.0,False,268.9,38.9,0.995,285.3,511.5,466.6,8527.7,strike_005_p15ms.jpg
mount1,-0.0,12.0,0.48,-2.443,5.037,0.2239,4,True,-1,,1,1876.6,3531.5,41.7,False,0.0,0.0,False,272.7,39.5,0.999,285.4,509.4,652.2,22014.4,strike_001_p15ms.jpg
mount1,-0.0,12.0,0.48,-2.443,5.037,0.2239,4,True,-1,,2,-1664.2,2310.5,42.9,False,0.0,0.0,False,255.1,36.9,0.965,285.5,512.4,502.9,6008.7,strike_002_p15ms.jpg
mount1,-0.0,12.0,0.48,-2.443,5.037,0.2239,4,True,-1,,3,-1259.2,2249.0,40.2,False,0.0,0.0,False,299.7,43.4,0.997,285.7,511.7,462.6,8765.3,strike_003_p15ms.jpg
mount1,-0.0,16.0,0.64,-2.443,5.037,0.2239,4,True,-1,,1,1467.1,2689.7,43.4,False,0.0,0.0,False,445.6,64.5,0.982,285.8,506.2,,11723.5,strike_001_p15ms.jpg
mount1,-0.0,16.0,0.64,-2.443,5.037,0.2239,4,True,-1,,2,1597.4,2797.2,41.6,False,0.0,0.0,False,425.2,61.6,0.97,285.7,510.5,,14887.3,strike_002_p15ms.jpg
mount1,-0.0,16.0,0.64,-2.443,5.037,0.2239,4,True,-1,,3,904.3,1807.9,37.8,False,0.0,0.0,False,246.0,35.6,0.995,285.9,507.9,844.5,7899.8,strike_003_p15ms.jpg
mount1,-0.0,20.0,0.8,-2.443,5.037,0.2239,4,True,-1,,1,-1062.6,1851.7,39.6,False,0.0,0.0,False,307.6,44.5,0.995,286.8,505.2,,7096.7,strike_001_p15ms.jpg
mount1,-0.0,20.0,0.8,-2.443,5.037,0.2239,4,True,-1,,2,1793.8,3037.0,43.8,False,0.0,0.0,False,342.3,49.6,0.989,286.8,508.7,,19631.0,strike_002_p15ms.jpg
mount1,-0.0,20.0,0.8,-2.443,5.037,0.2239,4,True,-1,,3,-1070.3,1875.8,39.2,False,0.0,0.0,False,233.2,33.8,0.995,287.1,511.5,,4335.3,strike_003_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,False,-1,,1,-2007.8,2603.8,34.0,False,0.0,0.0,False,157.0,22.7,0.899,287.6,463.9,,34905.8,strike_001_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,False,-1,,2,-1908.9,2535.4,33.4,False,0.0,0.0,False,164.2,23.8,0.893,287.4,459.4,,35126.3,strike_002_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,False,-1,,3,-2478.2,4946.3,33.2,True,14.38,14.38,False,177.3,25.7,0.903,287.0,511.2,,103817.9,strike_003_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,True,-1,,4,-2476.7,4946.6,36.3,True,14.75,14.75,False,109.1,15.8,0.933,287.1,773.5,763.9,113496.4,strike_004_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,True,-1,,5,-2477.9,4946.3,32.8,True,14.38,14.38,False,152.2,22.0,0.905,287.1,853.7,,107921.0,strike_005_p15ms.jpg
mount1,-0.0,-0.0,0.0,0.076,0.081,0.0044,1,True,-1,,6,-2480.3,4946.3,35.2,True,17.0,15.75,False,101.4,14.7,0.911,287.1,,,121623.4,strike_006_p15ms.jpg
mount2,0.0,4.0,0.16,0.401,0.162,0.0173,1,False,-1,,1,-2478.8,4944.8,34.2,True,15.25,15.25,False,260.8,37.8,0.864,,,,101227.4,strike_001_p15ms.jpg
mount2,0.0,4.0,0.16,0.401,0.162,0.0173,1,True,-1,,2,-2474.5,4945.1,32.6,True,15.0,15.0,False,382.8,55.4,0.992,289.8,,,97950.9,strike_002_p15ms.jpg
mount2,0.0,4.0,0.16,0.401,0.162,0.0173,1,True,-1,,3,-2479.4,4944.8,36.9,True,15.38,15.38,False,227.4,32.9,0.941,290.0,382.0,,104891.8,strike_003_p15ms.jpg
mount2,0.0,4.0,0.16,0.401,0.162,0.0173,1,True,-1,,4,-2473.6,4944.8,34.4,True,15.88,15.88,False,214.1,31.0,0.93,289.9,971.9,,106258.6,strike_004_p15ms.jpg
mount2,0.0,8.0,0.32,-2.768,6.094,0.2677,4,True,-1,,1,313.5,607.6,37.9,False,0.0,0.0,False,132.6,19.2,0.967,290.3,505.6,,576.9,strike_001_p15ms.jpg
mount2,0.0,8.0,0.32,-2.768,6.094,0.2677,4,True,-1,,2,309.2,562.7,40.9,False,0.0,0.0,False,408.4,59.1,0.952,290.3,500.7,,424.0,strike_002_p15ms.jpg
